Time;CPI
Jan-00;1.5
Feb-00;1.4
Mar-00;1.5
Apr-00;1.2
May-00;1.4
Jun-00;1.7
Jul-00;1.8
Aug-00;1.8
Sep-00;2.1
Oct-00;2
Nov-00;2.1
Dec-00;1.6
Jan-01;1.2
Feb-01;1.4
Mar-01;1.3
Apr-01;1.8
May-01;2.3
Jun-01;2.1
Jul-01;2
Aug-01;1.8
Sep-01;1.5
Oct-01;1.7
Nov-01;1.2
Dec-01;1.4
Jan-02;2.3
Feb-02;2.1
Mar-02;2.1
Apr-02;2
May-02;1.5
Jun-02;1.4
Jul-02;1.6
Aug-02;1.9
Sep-02;1.8
Oct-02;1.9
Nov-02;2.2
Dec-02;2.3
Jan-03;2
Feb-03;2.6
Mar-03;2.5
Apr-03;2
May-03;1.8
Jun-03;2
Jul-03;1.9
Aug-03;1.9
Sep-03;2.1
Oct-03;2.1
Nov-03;2.2
Dec-03;2.2
Jan-04;2
Feb-04;1.7
Mar-04;1.7
Apr-04;2.1
May-04;2.6
Jun-04;2.5
Jul-04;2.4
Aug-04;2.4
Sep-04;2.1
Oct-04;2.1
Nov-04;2.1
Dec-04;2.1
Jan-05;1.5
Feb-05;1.7
Mar-05;1.9
Apr-05;1.9
May-05;1.6
Jun-05;1.7
Jul-05;1.7
Aug-05;1.8
Sep-05;2.1
Oct-05;1.9
Nov-05;1.6
Dec-05;1.6
Jan-06;2.1
Feb-06;1.8
Mar-06;1.5
Apr-06;1.7
May-06;2.1
Jun-06;2
Jul-06;1.9
Aug-06;1.9
Sep-06;1.3
Oct-06;1.1
Nov-06;1.4
Dec-06;1.5
Jan-07;1.2
Feb-07;1
Mar-07;1.2
Apr-07;1.3
May-07;1.1
Jun-07;1.2
Jul-07;1.1
Aug-07;1.2
Sep-07;1.5
Oct-07;2
Nov-07;2.4
Dec-07;2.6
Jan-08;2.8
Feb-08;2.8
Mar-08;3.2
Apr-08;3
May-08;3.3
Jun-08;3.6
Jul-08;3.6
Aug-08;3.2
Sep-08;3
Oct-08;2.7
Nov-08;1.6
Dec-08;1
Jan-09;0.7
Feb-09;0.9
Mar-09;0.3
Apr-09;0.1
May-09;-0.3
Jun-09;-0.5
Jul-09;-0.7
Aug-09;-0.2
Sep-09;-0.4
Oct-09;-0.2
Nov-09;0.4
Dec-09;0.9
Jan-10;1.1
Feb-10;1.3
Mar-10;1.6
Apr-10;1.7
May-10;1.6
Jun-10;1.5
Jul-10;1.7
Aug-10;1.4
Sep-10;1.6
Oct-10;1.6
Nov-10;1.6
Dec-10;1.8
Jan-11;1.7
Feb-11;1.7
Mar-11;2
Apr-11;2.1
May-11;2
Jun-11;2.1
Jul-11;1.9
Aug-11;2.2
Sep-11;2.2
Oct-11;2.3
Nov-11;2.5
Dec-11;2.5
Jan-12;2.4
Feb-12;2.3
Mar-12;2.3
Apr-12;2.1
May-12;2
Jun-12;1.9
Jul-12;1.9
Aug-12;2.1
Sep-12;1.9
Oct-12;1.9
Nov-12;1.4
Dec-12;1.3
Jan-13;1.2
Feb-13;1
Mar-13;1
Apr-13;0.7
May-13;0.8
Jun-13;0.9
Jul-13;1.1
Aug-13;0.9
Sep-13;0.9
Oct-13;0.6
Nov-13;0.7
Dec-13;0.7
Jan-14;0.6
Feb-14;0.9
Mar-14;0.6
Apr-14;0.7
May-14;0.7
Jun-14;0.5
Jul-14;0.5
Aug-14;0.4
Sep-14;0.3
Oct-14;0.5
Nov-14;0.3
Dec-14;0.1
Jan-15;-0.4
Feb-15;-0.3
Mar-15;-0.1
Apr-15;0.1
May-15;0.3
Jun-15;0.3
Jul-15;0.2
Aug-15;0
Sep-15;0
Oct-15;0.1
Nov-15;0
Dec-15;0.2
Jan-16;0.2
Feb-16;-0.2
Mar-16;-0.1
Apr-16;-0.2
May-16;0
Jun-16;0.2
Jul-16;0.2
Aug-16;0.2
Sep-16;0.4
Oct-16;0.4
Nov-16;0.5
Dec-16;0.6
Jan-17;1.3
Feb-17;1.2